technology_key,ips_title,predicted_category,jira_title
bt,BT YB after S4 resume,YB/Lost,Bluetooth Audio Noise (like Bubble Sound) Issue in VoiP Call (Lenovo SoundBar)
bt,Remove old ADV/SCAN APIs (via BTSIG_HCI _CMD) from on Magnetar and later products,Connectivity,AAC headset have sound lag issue (CND when platform disable A2DP offload or Chg to SBC headset )
bt,The bluetooth driver is lost when resume from S4,Connectivity,Intel AX211 Bluetooth: BT headset will show auto switch between connect/disconnect when paired
bt,BT missing after S4 resume,Connectivity,BT mouse cannot work after idle or paired successfully.
bt,Fail to pair BLE mouse when HP Dock feature been enabled at HP platform,Connectivity,BT scanning page show message Try connecting your device again  when HP 935/635 BLE mouse to be 2nd paired mouse
bt,Intel BT Yellow bang durning Reboot(Aging 156 Fail) and wil have event ID 17 on S4 aging.,YB/Lost,System found the BSOD 0x7F when run the HLK : System - PNP (disable and enable) with IO Before and After (Reliability) test failed due to unexpected reboot.(FR: 2/3)
bt,HP platform fail to send BT adv after install intel InstaDock PV build,Connectivity,Ring function cant work after system go to S4/S5 and doing ring action.
bt,Intel GfP2 HG 1216 module FCC BT LE report power is mismatched with setting power.,Power Consumption,"In the BT function test, it is found that the Intel BT device is missing, and the device manager checks that the driver is still there but the yellow feeling has appeared."
bt,00827651 - DRTU BLE Hopping error,OEM Tools,BT headset cant hear voice and mic not workable during a phone call
bt,Teams call no sound when using Philips headset.,Connectivity,"HLK-Bluetooth - HciExtension1 (Bring Up) fails with Reserved flags (0xffffffffffffff80) are set by the radio, they should be zeroed out."
bt,00827651 - DRTU BLE Hopping error,OEM Tools,BT 5.0 mouse not moving smoothly when use v22.60.0.6
bt,GaP QS BT Tx Power will exceed BT SAR BRDS BIOS limit (GaP ES2 test pass only fail at GaP QS),RF,It takes a long time for connecting LE mouse after leaving 20+ minutes
bt,Host not initiating connection to set member,Connectivity,"Ring function cant stop immediately on S0/MSC/S4/S5, will cause status mixing."
bt,"ACL Peripheral Scheduling ACK priority - After connecting the BR3.0 Bluetooth mouse (MSFT) and Bluetooth earphones to the DUT, the mouse pointer will drift randomly when downloading and playing music online.",Connectivity,Tile app can activate when BIOS is not enable Intile by Feature byte.
bt,L and R not sync in Teams call,Connectivity,Bluetooth headphones cant auto reconnect after S3 resume.
bt,L and R not synced in music streaming,Connectivity,BT Mouse will automatically disconnect after unit connected to the BT mouse.
bt,"Disable Use LE audio when available with on dula mode device, teams call no sound after BT off/on",Connectivity,LE mouse does not work with 22.60.0.6
bt,"Swift Pair connected with Use LE audio when available disabled, after connection host will reconnect LE portion",Connectivity,"Connect the Bluetooth headset for a Bluetooth search, and the Bluetooth drive is missing"
bt,Samsung buds 2 still render music when volume state is in mute,Connectivity,Bluetooth headphones cant auto reconnect after S3 resume.
bt,BT MCC jump to 3030 due to Wi-Fi,Connectivity,DUT connect to BT mouse auto disconnect a little time in Signal shielding room.(FR:5%)
bt,BT Device missing - NO_SUCH_DEVICE,YB/Lost,The BT device is repeatedly reconnected and disconnected with 22.60 driver.
bt,"reconnecting earbud, second earbud connected 5 ~ 10 seconds after first bud was reconnected",Connectivity,System hang up when sending large size file via AX211 BT with C state enabled.
bt,"HLK ""Bluetooth - CIS Establishment Test"" fail with ERROR: CIS_establishment ERROR - Received an error failure notification, failing test",HLK,Bluetooth radio keep refreshing when moving Bluetooth mouse
bt,Mic no sound during teams call,Connectivity,Samsung mouse could not be connected to PC after mouse off and on
bt,Team call cannot be terminated with CCP,Connectivity,Windows Update cancelled because of PnP error rate.
bt,Multi-Control (SPP) cannot connect to android tablet. (cherry pick fix of DUT sends LMP_Set_AFH as a peripheral),Connectivity,BT does not work after resume from S4
bt,Wechat call active disconnect 1 bud other earbuds downlink no sound,Connectivity,BT does not work after resume from S4
bt,"YB assert 0x315 when running S4 aging and WRT preset ""Gacrux"" ( D3 -> D0 )",YB/Lost,"The audio switching from the system to the Bluetooth headset is delayed after reconnected.(F/R:2/2 units,4/4 times)"
bt,DRTU crashed issue,OEM Tools,PC did not receive Scan response packet from mobile phone
bt,"After SONY headset disconnect to host , user re-connect earbud will have no sound or media platey can not play symptom",Connectivity,Lost address information of connectable adv from non-connectable advertising during ModernStandby
bt,LE audio headset out of range during voice call test will cause no sound/quality issue,Connectivity,GFP and TyP show inbox generic driver in DM  (RVP also repro)
bt,DV LE Mouse Lags and laggy A2DP audio,Performance,"BT devices cannot be scanned at BT ""Add a device"" interface when A2DP Offload music streaming is playing."
wifi,WIfi YB happened randomly,YB/Lost,HW Error occures if using Quick Share app while BLE advertising by SmartThings
wifi,PC didnt receive packets from android several times so android device finally decided to disconnect from PC.,Connectivity,BT mouse cursor always lag during S0 for several minutes
wifi,AX101 WiFi throughput drop when BT is enabled but not connected to BT device,Connectivity,BLE mouse disconnect during usage
wifi,"During the installation of WINDOWS 10, enter audit mode and install WIFI & BT DRIVER blue screen occurs",BSOD,ADL platform cannot install  ADL BETA driver 22.30.0.2 (T-Layout)
wifi,UHB CH213 HE160Mhz conductive throughput can not meet Lenovo criteria at high attenuation,Performance,Device not started (BTHUSB) error with 0xC00000B5 (STATUS_IO_TIMEOUT)
wifi,"BSOD IRQL_NOT_LESS_OR_EQUAL (a), Netwtw10.sys",BSOD,Failure to find signed driver/Code 52 after upgrade for INF install
wifi,PPAG does not work on KILLER1690i,Killer,BT mouse auto disconnect when joining zoom call.
wifi,BSOD 0x7E happened which related with Intel WLAN when system reboot,BSOD,Sound of local video has noise output from BT headset after end video call via skype and local video played.
wifi,WiFi YB,YB/Lost,BT function full lost during on-line game playing.
wifi,Excessive Roaming and Disconnects on AX201 - HSBC see excessive roaming and disconnects on wifi networks on systems equipped with Intel wireless AX201 and AC-9560.,Connectivity,BSOD 0x5c after restart by manual(FR:2/600 units)
wifi,Garbage occurs on the miracast projection screen when the WLAN is connected to a 11ax AP,Connectivity,"Unplugged AC adapter, found the sound will obviously lag about 2~4s."
wifi,softap created at 2.4G channel,Connectivity,BT scan failed after resume from connected standby
wifi,Wi-Fi sensing - WoA distance doesnt meet the KPI.,Connectivity,"Unplugged AC adapter, found the sound will obviously lag about 2~4s."
wifi,PC uses Miracast for screen projectionview mang garbage,Connectivity,BT headset has noise when use SKYPE
wifi,Wi-Fi sensing - WoA distance doesnt meet the KPI,Connectivity,AX201/AX211 device will YB after warm boot
wifi,20~30% throughput degradation on Rx with sensing enabled and AP configured to AX 160 MHz - Pending DCR-1991,Performance,BT WU requirement always fail show in MSFT server.
wifi,Ping timeout causes end-user Wi-Fi connectivity issues (lag/feel like disconnect....etc),Connectivity,DVT2_Italia TGL_ YB_Error_37_Driver_ Stress_S4_The system show Add Intel(R) Wireless BT(R) YB.
wifi,5G band not allowed for GO after Assert 0x19d7,YB/Lost,BT mouse cursor lag during S0 ( repro at HP employee working laptop)
wifi,Specific to Cisco9115 WiFi6 AP 11an/11ac throughput degradation,Connectivity,Music lag 1~2 sec by Freelace BT headphone.
wifi,RFQ Throughput Evaluation...abnormal throughput at 2.4GHz 40MHz channel 6L 11n mode TX direction,Performance,BT mouse was disconnected suddenly.
wifi,"After rebooting, scan list is empty",Connectivity,BT YB after BT off/on
wifi,System longer boot(circling) time after install WLAN 22.170.2.1(With DMAr Eanble),Connectivity,"User createdMulti-screen Collaboration for a while, find Intel BT device shows YB(code 10)"
wifi,"After the WiFi driver is upgraded to version 160, there are more than 900 unknown threads in the message center, which are always blocked, and this problem occurs only after the driver i",Connectivity,"System hang 3 times and unexpected shutdown1 time, keyboard is lost frequently.(SN:038347305253) BT"
wifi,uCode error (EventID 5002) after roam.,YB/Lost,System foundthe BT KBD and Mouse disconnected then cant find any device.
wifi,Compatibility issues with ixVeriwave,Connectivity,IWFT enters non-functional state for long run with WiFi Disabled
wifi,WiFi device YB fatal error assert_0x201013f2,YB/Lost,BT HFP/A2DP fail to work
wifi,TAS enable some question for AX411 - DCR-1833 should fix,RF,USB device(Non AOU port) drop out when use BT/WLAN device sometimes.
wifi,Client fail to response for EAPOL,Connectivity,FW exception pointing to WD Kick2 (Reported on EB)
wifi,"After CurieF loads the PIE DLL, calling WifiGetAdapterList cannot return the adapter correctly",Connectivity,"DUT send abnormal InstaDock Beacon after reboot (repro at v23.80 ,v23.70 CND, AX211 CND)."
wifi,Wi-Fi sensing WOA&WAL distance and WAL time not confirm to Intel KPI,RF,"HP InstaDock fail send 2 Docks beacon at the same time (repro at v23.80 ,v23.70 CND, AX211 CND)."
wifi,Wi-Fi sensing WOA&WAL distance exceeds Intel KPI,RF,"The ""Intel Bluetooth"" device lost in DM after the system idle overnight"
wifi,Samsung S21 (WiFi 6) has been limited at downlink throughput (around 160Mbps) while connecting with AX211 WiFi hotspot (22.160.0.3),Power Consumption,Mouse reconnect fail and scan list empty  (LE Scan List Empty)
wifi,AX201 as GO doesnt respond to auth frame of GC,Connectivity,BT driver YB
wifi,"CurieF and mobile phone cooperate with Huawei multi-screen, softap is created in 2.4G",Connectivity,"[Surface][LNL+FmP2][PCIe][Audio Offload][23.80, 23.90][QUN2][EarFun UBOOM L portable Bluetooth Speaker]: Fails to render audio[AAC codec]"
wifi,Unexpected information shown in the Network Connection,Connectivity,ibtOemToolsSarEnableExt ExtInf in Tools folder is not having same Pre-Prod Certificate as in P Layout
wifi,AX210 sometimes would not reported 6GHz functionality in assoc req(assert=0x201013f2,YB/Lost,BLE link disconnection caused by connection timeout
wifi,Client WiFi fails to locate 6 GHz APs.,Connectivity,Test Bug
wifi,WiFi YB when run Reboot test,YB/Lost,BLE Init Failure post integration to BIOS
wifi,Wi-Fi sensing WOA&WAL distance exceeds Intel KPI.,RF,BT Device lost due to TOP exception during S4 cycle - Clean WA from FW/Driver to retrieve debug
wifi,Conducted TX spectrum Mask fail IEEE specification,RF,Fw exception occurred on self-host user
wifi,Conducted TX spectrum flatness fail IEEE specification,RF,Cleanup of NPI Product IDs from Sustain INF
wifi,Wlan YB code 10 when run reboot aging,YB/Lost,BT lost during S4 stress testing
wifi,unable to output debug log on HP machine,Connectivity,BT device lost during S4.
wifi,"Because the DUT missed beacon happening ,  cause to the DUT will switch to weak signal AP automatically",Connectivity,UE speaker failed to render SBC
wifi,AX210 sometimes would not reported 6GHz functionality in assoc req(assert=0x200008fe),YB/Lost,BT show YB after run ME tool or S4 stress test
wifi,BSOD (0x7e)The dump points to the WLAN,BSOD,[MSFT][LNL-MX][PCI][PST] Bluetooth Yellow Bang in Sx Cycle scenarios with WI-Fi data [ Operation Mode ]
wifi,DMAr setting typo in WifiDrv08Customizations.inf,Connectivity,BT YB after DC mode reboot stress
wifi,BSOD occurs when resuming after Hibernation orFast Startup,BSOD,BT enumerators and RFCOMM Protocol TDI disappears after hybridshutdown
wifi,0XD1 BSOD when codeboot,BSOD,BT FATAL exception when S4 stress test (PLDR can recovery it)
wifi,The output power of WLAN module in country mode: US/low power mode cant meet the spec,Power Consumption,BT Device lost in Sx Cycle with BT 23.60.5.6 and EVQS CPU EESIT SMT configuration
wifi,Audio playback are not smooth after connecting to the projector.,YB/Lost,WiFi 11axLB Tx BT A2DP - A2DP Bug Title
wifi,PPAG function doesnt work when countrycode is set to CB(China).,RF,DRTU BT TX power can not keep transmit (issue CND at MTL+GaP)
wifi,Not able to disable Chain A/B separately through registry keys anymore,Connectivity,Disconnect button is not displayed in the UI when connected.
wifi,-Device Manager show YB on WLAN when the connected network switches channels with Indonesia AR6 OS. -- Ucode Assert 0x8FE,YB/Lost,Running DRTU BT driver YB
wifi,Installation Error with WiFi_DRV_SA,Connectivity,BSOD when upgrading driver from 23.65.0.10 to 23.60.5.6
wifi,"System will auto roam to AP and trigger disconnect ,because many packets lost in FW.",Connectivity,ANT tool BT PPAG cmd fail
wifi,WPA3 Roaming Isssue,Connectivity,Bluetooth HE error event during resume from hibernate during PST testing
wifi,System hang on ASUS logo by BitLocker Network unlock function with UEFI-Release-221522272.,System Hang,hcitool not responding to rdbdaddr command on BT over PCIe
wifi,WiFi profile not showing expected 11ax in Protocol after changing wireless modes in properties,System Hang,Late LE audio reconnection of second bud (Galaxy Buds2 Pro)
wifi,Intel9560 WiFi(2.4G 802.11n)WiFi data rate in OS not meet with spec,Connectivity,Bluetooth Device is missing in CS and S4 cycles.
wifi,UNII4 is not supported on DRTU,OEM Tools,BT device lost when running reboot aging (1/100)
wifi,MCC query result does not comply with working MCC,Connectivity,"Sometimes after several hibernate and resume, bluetooth will be lost in device manager."
wifi,CITU not work when running testing.,OEM Tools,Bluetooth device lost when doing stress S4 and coldboot
wifi,"Connected to a network 5G WiFi shows no network, cannot acquire IP address",Connectivity,BT Device is going hidden in device manager after restart.
wifi,PC SoftAP send data to phone client based only BW 20Mhz,Connectivity,Pointing to bc_EnableBriCompression during D2 to D0 transition.
wifi,HE160 RU-26T/52T Tx power issue for 6-7GHz,Power Consumption,BT Cursor does not move smoothly by using BT soft-KB trackpad when BT audio/video call is active
wifi,"Lenovo PM found WLAN frequently YB during daily work(F/R: 2-3 times one day) FW assert 0x310, 0xA5A5A5A2",YB/Lost,BT device has possibility to report wrong HWID with no driver installed condition.
wifi,2.4GHz band Adaptivity failure on AX211D2W,Connectivity,BT exception
wifi,"WiFi Spectrum Mask, EVM and Power tolerance questions",Power Consumption,"Remove folder names, file names and any other text in the installers and INFs indicating"
wifi,T-put(STA <-->AP) become low if enable hotspot when connected with AP 160M BW,Power Consumption,LE anchor point and CIS 2nd and 3rd subevent overlaps
wifi,Cannot get IP address after switching or roaming to other AP,Connectivity,Timer drift is observed with BT Connection manager driver after integrating it
wifi,UEFI-Release-221522232 function Scan error.,UEFI,Call state not issued from host during Teams call
wifi,Connection Drop with specific AP(RXAE500) during 2nd Screen connection (Miracasting),Connectivity,BT missing after S4 resume
wifi,"WLAN switches from the 2.4G channel to 5G, PC cannot obtain the IP address, and the issue only happening on PV 22.150",Connectivity,The bluetooth driver is lost when running disable/enable bluetooth driver test. - Investigate USB Erratic Errors in Integrated Products
wifi,pc sap does not receive frames,Connectivity,DUT cant advertise beacon in S4/S5 even using a PG3-disabled BIOS
wifi,The Canada OTP values in v22.150 of DRTU exceed Maximum output power from Canada 6E certification of  AX211 module report,Power Consumption,DUT doesnt send beacon after HP Dock attached
wifi,PC transmit data to PAD will get Tx Faild due to reason 0x83 and 0x91,BSOD,Bluetooth lost when do restart and S4 test with debug EB
wifi,"FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x20101058, log is  valid. data1 = 0xb, data2 = 0x0)",YB/Lost,"call active, R power off, L no sound for 5~10 sec"
wifi,"CurieF and mobile phone cooperate with Huawei multi-screen, softap is created in 2.4G",Connectivity,"Outgoing call, ringtone no sound after a while (ASUS DESKTOP)(always)"
wifi,Using 2.2.15 release & observe scan hang(1.2.11.22527 can not repro),System Hang,Japan BLE Tx Power must not exceed at 6dBm
wifi,WLAN speed status does not meet spec,Connectivity,LE HID device does pairing iteration to lead multiple device name in Bluetooth Setting.
wifi,WiFi Properties show 11ac when AX201 connected to iPhone 12 Pro Max hotspot (11ax mode),Power Consumption,BT YB after S4 resume
wifi,scan list is empty after resume from MS,Connectivity,Remove old ADV/SCAN APIs (via BTSIG_HCI _CMD) from on Magnetar and later products
wifi,"the fatal error ASSERT(UMAC, rtStatus = 0x20003204 cause to the P2P connection is abnormally disconnected",YB/Lost,The bluetooth driver is lost when resume from S4
wifi,invitation failure with no P2P_IE_ATTRIBUTE_TYPE_OPERATING_CHANNEL,Connectivity,BT missing after S4 resume
wifi,Samsung S21 (WiFi 6) has bad downlink throughput while connecting with AX211 WiFi hotspot (22.140.0.3/22.150.0.3),Power Consumption,Fail to pair BLE mouse when HP Dock feature been enabled at HP platform
wifi,Wlan driver v22.150.0.3 installation will pop up error message via intel installer,Connectivity,Intel BT Yellow bang durning Reboot(Aging 156 Fail) and wil have event ID 17 on S4 aging.
wifi,#NAME?,RF,HP platform fail to send BT adv after install intel InstaDock PV build
wifi,"After roaming to AP2, AX200 responded with an ACK to messages that were sent from AP1 - which is not allowed",Connectivity,Intel GfP2 HG 1216 module FCC BT LE report power is mismatched with setting power.
wifi,AX201- IPv6 SLAAC (Stateless Address Auto-configuration) not working reliably after Sleep/Hibernate,Power Consumption,00827651 - DRTU BLE Hopping error
wifi,GfP4 Power Management Tab in Device Manager on Modern Standby platform,Power Consumption,Teams call no sound when using Philips headset.
wifi,Intel AX201 Wi-Fi is off when unplug AC adapter or idle at DC mode,Connectivity,00827651 - DRTU BLE Hopping error
wifi,"YB uCode ASSERT(UMAC, rtStatus = 0x20000315, log is  valid. data1 = 0x4, data2 = 0x200)",YB/Lost,GaP QS BT Tx Power will exceed BT SAR BRDS BIOS limit (GaP ES2 test pass only fail at GaP QS)
wifi,EB PHWFW05997_22.130.0.5 cant test MU-MIMO 160MHz in 5GHz,OEM Tools,Host not initiating connection to set member
wifi,[Dell][RPLS][CSLP][Widowmaker MLK][WW18]observed Driver log errors pointing Wi-Fi Driver during S4 and S5 cycling [fw assert0x315],YB/Lost,"ACL Peripheral Scheduling ACK priority - After connecting the BR3.0 Bluetooth mouse (MSFT) and Bluetooth earphones to the DUT, the mouse pointer will drift randomly when downloading and playing music online."
wifi,"Connect to 2.4G WiFi to turn on the hotspot(5G), and then turn on the hotspot again after hibernation, it shows that the hotspot cannot be turned on",Power Consumption,L and R not sync in Teams call
wifi,Intel AX201 WLAN shows YB after connect WLAN AP around 15m.,YB/Lost,L and R not synced in music streaming
wifi,9260 didnt take action as receiving BTM for transition from 2G to 5G.,Connectivity,"Disable Use LE audio when available with on dula mode device, teams call no sound after BT off/on"
wifi,The PIE service has stuck cause to GetSupportedChannels does not return a value.,System Hang,"Swift Pair connected with Use LE audio when available disabled, after connection host will reconnect LE portion"
wifi,Why is the AX211 TH(Thailand) power on 2.4G/5G-B1/5G-B4 are follows US not EU? - DCR-1747,Power Consumption,Samsung buds 2 still render music when volume state is in mute
wifi,Station would connect 5G channel 149 BW160 with only 11n which is  not align with JfP/Quasar JfP/Solar,RF,BT MCC jump to 3030 due to Wi-Fi
wifi,BSOD occurs after add Wifi network on F3 then boot to OS,BSOD,BT Device missing - NO_SUCH_DEVICE
wifi,"System will show ""No dispalys are available"" when press Win+K via Miracast.",Connectivity,"reconnecting earbud, second earbud connected 5 ~ 10 seconds after first bud was reconnected"
wifi,Intel WLAN AX211 driver cannot be install,Connectivity,"HLK ""Bluetooth - CIS Establishment Test"" fail with ERROR: CIS_establishment ERROR - Received an error failure notification, failing test"
wifi,Intel WiFi Module MU-MIMO Conducted EVM failure in 2462MHz 40MHz Bandwidth,Connectivity,Mic no sound during teams call
wifi,Systme cannot search Wi-Fi direct device starting from 22.120 (22.110 no issue),Connectivity,"Walk out of range and resume back in distance, device failed to get reconnected"
wifi,5GHz Ch132 80MHz Beacon CANT be scanned by AX210 w/ MCC GB,OEM Tools,Team call cannot be terminated with CCP
wifi,"WLAN Driver YB (error code 10/43) when running S4 in Win11R OS, pass with 22.50.0.7, fail with 22.80.0.9 and newer",YB/Lost,Multi-Control (SPP) cannot connect to android tablet. (cherry pick fix of DUT sends LMP_Set_AFH as a peripheral)
wifi,System show 7c BSoD when reboot.,BSOD,Wechat call active disconnect 1 bud other earbuds downlink no sound
wifi,There are Event ID 5002 in log after running WiFi Connection Reliability test.,YB/Lost,"YB assert 0x315 when running S4 aging and WRT preset ""Gacrux"" ( D3 -> D0 )"
wifi,There are Event ID 4003 in log after running WiFi Connection Reliability test.,Connectivity,DRTU crashed issue
wifi,There are Event ID 5002 in log after running WiFi Connection Reliability test.,YB/Lost,"After SONY headset disconnect to host , user re-connect earbud will have no sound or media platey can not play symptom"
wifi,Warmboot stress testing meet WLAN YB,YB/Lost,LE audio headset out of range during voice call test will cause no sound/quality issue
wifi,NobelE fails to call the PIE interface and gets the country code as 0,Connectivity,DV LE Mouse Lags and laggy A2DP audio
wifi,Slow download throughput when FIPS enabled on the client.,Performance,WIfi YB happened randomly
wifi,0x9F_3_SETPOWER_IMAGE_Netwtw10.sys --Wdf01000!FxPkgFdo::_PowerPassDown+0x79,BSOD,PC didnt receive packets from android several times so android device finally decided to disconnect from PC.
wifi,Reset/Recovery error due to different asserts during Disconnected Standby/Hibernate test,YB/Lost,AX101 WiFi throughput drop when BT is enabled but not connected to BT device
wifi,WiFi 5010 system events and 0x1997 asserts still happens with 22.130.0.5,YB/Lost,"During the installation of WINDOWS 10, enter audit mode and install WIFI & BT DRIVER blue screen occurs"
wifi,SUT met BSOD:DRIVER_POWER_STATE_FAILURE(0x9f) when executing stress 3DMark.,BSOD,UHB CH213 HE160Mhz conductive throughput can not meet Lenovo criteria at high attenuation
wifi,WW power level on chain A/B are not followed DV power table definition,Power Consumption,"BSOD IRQL_NOT_LESS_OR_EQUAL (a), Netwtw10.sys"
wifi,The 5G channel is empty and created on a 2.4g channel.,Connectivity,PPAG does not work on KILLER1690i
wifi,Reset/Recovery instances due to different asserts during Disconnected Standby/Hibernate test,YB/Lost,BSOD 0x7E happened which related with Intel WLAN when system reboot
wifi,"WiFi 6e channels could not be connected when selecting ""Open"" as Authentication Method on Access Point",Connectivity,WiFi YB
wifi,SIP110836 - EB 1040 G6 / Huawei / GC / Intel WLAN Unexpected Roaming Issue / PC APJ / CN,Connectivity,Excessive Roaming and Disconnects on AX201 - HSBC see excessive roaming and disconnects on wifi networks on systems equipped with Intel wireless AX201 and AC-9560.
wifi,Cannot connect when AP is stealth enabled.,Connectivity,Garbage occurs on the miracast projection screen when the WLAN is connected to a 11ax AP
wifi,Connect to WLAN to play online video and drive YB appearserror code10,YB/Lost,softap created at 2.4G channel
wifi,Connect to WLAN to play online video and drive YB appearserror code43,YB/Lost,Wi-Fi sensing - WoA distance doesnt meet the KPI.
wifi,Frequent throughput drops when device resumes from Hibernate/DS,Connectivity,PC uses Miracast for screen projectionview mang garbage
wifi,during Disconnected Standby/Hibernate test,Connectivity,Wi-Fi sensing - WoA distance doesnt meet the KPI
wifi,Losing audio while using teams,Connectivity,DDD Log file size does not increase during the test and didnt record the full test
wifi,Reset/Recovery instances due to asserts 0x4424 during Disconnected Standby/Hibernate tests,YB/Lost,20~30% throughput degradation on Rx with sensing enabled and AP configured to AX 160 MHz - Pending DCR-1991
wifi,The DUT will disconnect from AP due to the miss beacon happen,Connectivity,Ping timeout causes end-user Wi-Fi connectivity issues (lag/feel like disconnect....etc)
wifi,"""Multi-Screen Collaboration"" will disconnect via PC manager -  Tx Faild due to reason 0x91.",BSOD,5G band not allowed for GO after Assert 0x19d7
wifi,The user cannot connect to any hotspot after waking up from sleep,Power Consumption,Specific to Cisco9115 WiFi6 AP 11an/11ac throughput degradation
wifi,latitude 7320 2in1 <AX201_WiFi> Event ID 5010 (driver assert 0xB697)  while boot to OS/ resume from MODS,YB/Lost,RFQ Throughput Evaluation...abnormal throughput at 2.4GHz 40MHz channel 6L 11n mode TX direction
wifi,The wlan list is empty when system resume from MS. (cycle FR: 1/20; DUT FR:1/12),Connectivity,"After rebooting, scan list is empty"
wifi,"uCode ASSERT(LMAC1, rtStatus = 0x4424",YB/Lost,System longer boot(circling) time after install WLAN 22.170.2.1(With DMAr Eanble)
wifi,Restart stress test happen BSOD point to Netwtw10.sys (BUGCODE_NDIS_DRIVER_LIVE_DUMP (15e)) on Factory Build(F/R:1/300 units) - ndis!ndisMReenumerateFailedAdapterInternal,BSOD,"After the WiFi driver is upgraded to version 160, there are more than 900 unknown threads in the message center, which are always blocked, and this problem occurs only after the driver i"
wifi,Code 10 on device during Sx resume,Connectivity,uCode error (EventID 5002) after roam.
wifi,BSOD 0x9f occurred during restarting DUT.,BSOD,Compatibility issues with ixVeriwave
wifi,The WLAN device showsshow YB(code 10) in device manager when idle,YB/Lost,WiFi device YB fatal error assert_0x201013f2
wifi,"blue screen during use, and then the machine restarted. Blue screen code: DRIVER_POWER_STATE_FAILURE, bugcheck: 0x9F. D drive has dump.",BSOD,TAS enable some question for AX411 - DCR-1833 should fix
wifi,SUT will automatically wake up from S3 to S0 after running PETS or Mesh Commander,Connectivity,Client fail to response for EAPOL
wifi,5G band not allowed for GO after Assert.,YB/Lost,"After CurieF loads the PIE DLL, calling WifiGetAdapterList cannot return the adapter correctly"
wifi,Desense Impact With LPDDR5 Speed 5200MT/s,Performance,Wi-Fi sensing WOA&WAL distance and WAL time not confirm to Intel KPI
wifi,Driver does non FT roaming ignoring OS request to reassoc as FT which causes OS to trigger disconnect post non FT association,Connectivity,Wi-Fi sensing WOA&WAL distance exceeds Intel KPI
wifi,wake up in DC mode and cant find any AP after sleep,Power Consumption,"The DLL of PIE is loaded successfully, but some interfaces of PIE are called and return errors"
wifi,FCC low power level on chain B is not followed DV power table definition,Power Consumption,Samsung S21 (WiFi 6) has been limited at downlink throughput (around 160Mbps) while connecting with AX211 WiFi hotspot (22.160.0.3)
wifi,WIFI reconnection taking too long (>20sec) after turning OFF/ON WIFI Radio with 6E Access Point,Connectivity,AX201 as GO doesnt respond to auth frame of GC
wifi,BSOD 0x7e occurred during running MS.,BSOD,"CurieF and mobile phone cooperate with Huawei multi-screen, softap is created in 2.4G"
wifi,Queried result of CDB SAR table by ANT tool was different from that by WRT tool,RF,Unexpected information shown in the Network Connection
wifi,"CH165 explicit RU values for 2,4, and 8mhz BW are being set to the incorrect power",Power Consumption,AX210 sometimes would not reported 6GHz functionality in assoc req(assert=0x201013f2
wifi,Lower Power Level on CcP Module driver version 22.100 than version 21.120 to meet Band Edge Specs,Power Consumption,Client WiFi fails to locate 6 GHz APs.
wifi,"Assert 5002- FATAL_ERROR: uCode ASSERT(LMAC1, rtStatus = 0x2B83, log is  valid. data1:0x4e5000, data2:0xdeadbeef)",YB/Lost,WiFi YB when run Reboot test
wifi,Indra: Error seen with Wifi OTP commit,Connectivity,Wi-Fi sensing WOA&WAL distance exceeds Intel KPI.
wifi,"Assert 5002- FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x2010350D, log is  valid. data1 = 0x0, data2 = 0xdeadbeef)",YB/Lost,Conducted TX spectrum Mask fail IEEE specification
wifi,Reset/Recovery instances due to different asserts 0x3030 during Disconnected Standby/Hibernate test,YB/Lost,Conducted TX spectrum flatness fail IEEE specification
wifi,Delta between GfP2 QS/SRA accounting for DRTU not outputting MCS 15 properly,OEM Tools,Wlan YB code 10 when run reboot aging
wifi,Unable to run testharness tool on HostPC,Connectivity,Invalid cipher key provided by OS.  Loss of network connectivity.
wifi,"9462(TA-J88400-007) WLAN YB(100%) on ICL/TGL platform, while no issue with 9462(TA-J88400-006)",YB/Lost,unable to output debug log on HP machine
wifi,"iphone 13 enable the hotspot, the test machine shows WiFi5 (not Wifi6)after connecting to the hotspot",Power Consumption,"Because the DUT missed beacon happening ,  cause to the DUT will switch to weak signal AP automatically"
wifi,WLAN Assert 0x90 while T-put test with Jperf-2.0.2,YB/Lost,AX210 sometimes would not reported 6GHz functionality in assoc req(assert=0x200008fe)
wifi,"YB FATAL_ERROR: uCode ASSERT(UMAC, rtStatus = 0x0000DEAD, log is not valid(0x7da851e2)When run PC_Stress_MultiMedia_00300, one unit(SKU1-35) meet WLAN YB FR 1/10 unit",YB/Lost,BSOD (0x7e)The dump points to the WLAN
wifi,"Unexpected ""TASK_DISCONNECT(GO)"" from OS when PC transfer big file(3.6GB) to Phone",Connectivity,DMAr setting typo in WifiDrv08Customizations.inf
wifi,Connect to WLAN to play online video and drive YB appearserror code43,YB/Lost,BSOD occurs when resuming after Hibernation orFast Startup
wifi,Queried result of CDB SAR table by ANT tool was different from that by WRT tool,RF,0XD1 BSOD when codeboot
wifi,WiFi YellowBang w/ WiFi 22.80.1.1 + BT 22.100.0.2,Connectivity,The output power of WLAN module in country mode: US/low power mode cant meet the spec
wifi,WLAN Driver YB when running Reboot.,YB/Lost,Audio playback are not smooth after connecting to the projector.
